pax	PABGS
onslaught	AUPB/SHRAUT, OPB/SHRAUGT
Mother Theresa	PHOER/TRAOES/SA
Met	PHET/PHET
auditorily	AUD/TORL
inventor	EUPB/SREPB/TOR, EUPB/SRERPBT, SROERPBT, EUPB/SREPBT/TOR, EUPB/SREPBT/O*R
reproduced	RAOE/PROE/TKAOUS/-D, RE/PROE/TKUS/-D
groszy	TKPWROS/S*EU
Stacy	STAEUS/KWREU
Brazel	PWRA*EUZ/*L, PWRAZ/*L
honorable	HOPB/ORBL, HOPB/RABL, HOPB/TPHOR/-BL, HOPB/TPHORBL
{>}{&g}{&l}	TKPWHR*
seven to	STOEFPB
timey	TAOEUPL/KWREU
accustom	ABG/K*US/OPL, A/KUS/TOPL, ABG/KUS/TOPL
book	PWAOPBG, PWAOBG, PAOBG
effect that	TPHAEBGT
calvarium	KAL/SRAEUR/KWRUPL
actuate	ABG/SHAEUT, ABG/TWAEUT, ABG/KHU/WAEUT, ABG/KHAOU/WAEUT, ABGT/WA*EUT, ABGT/KHAEUT, ABG/KHAEUT, ABG/KHAOU/AEUT, ABG/KHU/AEUT
periods	PER/KWRODZ, PAOER/KWRODZ, PAOERD/-Z, PAOERDZ, PAOERD/-S
vats	SRATS, SRAT/-S
for their	TPOR/THAOER
forces	TPORSZ
unlock	UPB/HROBG
browse	PWROUZ, PWROUS
scrabble	SKRAB/-BL, SKRAB/-L, SKRABL
willfulness	HR/-FL/-PBS
reopen	RAOE/OEP, RE/OEP
establishment	STAEBLT, STAERBLT, STAEBLT/*PLT, STAEB/*PLT, STAEPLT, STAOEPLT, STRAEBLT, STAEPBLT, STAUBLT, PWHREUPLT
dishes	TKEURBS
beautiful	PWAOU/TEUFL, WAOUFL, PWAOUT/-FL, PWAOU/TEU/-FL, PWAOUFL, PWAOUT/TPUL
militate	PHEUL/TAEUT
{&00}	0D, OZ, 0Z
irregularly	EUR/REG/HRARL, EUR/REG/HREU, EUR/REG/HRAEURL
cosponsor	KRO/SPOPBS/O*R
Sheppard	SHEP/ARD, SHERPD
carved	KAR/*FD, KAFRBD, KAFB/-D
compress	KOPL/PRESZ, KPRES
common	KOPL/PHOPB, KPHOPB, KPHOP, KPHOB
punctilious	PUPBG/TEUL/KWROUS
preeminent	PRAOE/TPHEPBT, PRE/EPL/TPHEPBT, PRAOEPL/TPHEPBT, PHAOE/EFPL/TPHEPBT
sisters and brothers	STABT/-S
Colombian	KHROPL/KWRAPB
dose	TKOES
I can't want	KWRAPT
springs	SPREUPBG/-S, SPREUPBGS
{^biotic}	PWAOEUT/EUBG
med	PH*ED
outcome	AOUT/KOPL, O*UT/KOPL, KWUPL
arrival	A/RAOEUFL, AFRL
mental	PHEPT/A*L, PHEPBT/AL, PHEPBT/A*L, PHEPB/TAL, PHEPBT/KWRA*L, PH*EPBLT, PHEPBL, PHEPBT/TAL
intercalat	*EUPBT/KHRAEUT
for me to do	TOR/PHAOE/TO/TKO
treasures	TRERB/KWRURS, TREZ/KWRURS, TR*ERBS, TRERB/SHURS, TR-RBS, TRERB/AOURS
thermos	THERPL/OS, THER/PHOS
gluey	TKPWHRAOU/KWREU
Bonnie Raitt	PWOPB/KWREU/RAEUT, PWOPB/TPHEU/RAEUT
gummy	TKPWUPL/PH*EU
bailiff	PWAEUL/EUF, PWAEU/HREUF, PWAEUL/HREUF, PWHR-F
livelihoods	HRAO*EUF/HREU/HAODZ
innkeepers	*EUPB/KAOEP/ERS
irrevocably	ER/REFBG/PWHREU, EUR/REFBG/PWHREU, EUR/REF/KA/PWHREU, EUR/REF/KAEBL
measly	PHAOES/HREU, PHAOEZ/HREU
keratectomy	KER/TEBGT/PHEU
key-to-disk	KAOE/TO/TKEUS/-BG
spheroid	STPAOER/OEUD
differ	TKEUFR, TKEUF/ER, TK-FR
A-1	APLT/1
Anno Domino	APB/TPHOE/TKOPL/TPHOE
girdle	TKPWEURD/*L, TKPWEURD/-L
marsupial	PHAR/SAOUP/KWRAL
{^mont}	PHOPBT
imposing	EUPL/POES/-G, EUPL/POEFG
interpleader	SPWER/PHRAOE/TKER, EUPBT/PHRAOED/ER, SPWER/PHRAOED/ER, EUPBT/PHRAOED/*ER
{^ez}	*EZ
Clover City	KHRO*EFR/STEU, KHRO*EF/ER/STEU
Canuck	KA/TPHUBG
cute	KAOUT
Malvern	PHAL/SRERPB
ossification	OS/TPA*EUBGS, OS/TPEU/KAEUGS, OSZ/TPEU/KAEUGS, OS/SEU/TPEU/KAEUGS, OS/SEUF/KAEUGS
tuner	TAOUPB/ER, TAOUPB/*ER
Crispus	KREUFP/SKWRUS
{ex^}	EBGS
childnappers	KHAOEULD/TPHAP/ERS, KHAOEULD/TPHA*P/ERS
ascend	A/SEPBD, A/SKEPBD, AS/SEPBD, A/SKREPBD
Mangan	PHAPBG/A*PB
repurposing	RE/PURP/-G
Cormier	KORPL/KWRAEU
meteorite	PHAOET/KWROR/AOEUT, PHAOET/KWRO/RAOEUT
tavern	TA*F/ERPB, TA*FRPB, TAFRPB
overage	O*EFRPBLG, OEFRPBLG, AUFR/APBLG, OFR/APBLG, AUFRPBLG, O*FR/APBLG
effulgent	AOE/TPUL/SKWREPBT
blacking	PWHRABG/-G
steamship	STAOEPL/SHEUP
happenstance	HAP/STAPBS, HAP/PEPB/STAPBS, HAP/EPB/STAPBS, HAP/-PB/STAPBS, HAP/*EPB/STAPBS
ophthalmically	THA*BG/HREU
citric	SEUT/REUBG, SEUT/TREUBG, STR*EUBG
drainage	TKRAEPBG, TKPRAEUPB/APBLG, TKRAEUPBLG, TKWRAEUPB/APBLG, TKRA*EUPBLG, TKRAEUPB/APBLG
Bono	PWOPB/SKWRO
Christiansen	KREUGS/S*EPB
butane	PWAOU/TAEUPB
prognathic	PROG/TPHA*T/EUBG
peculiarities	PEBG/AOUL/AERTS
straddles	STRAD/-LS, STRAD/*LS
Different Games	TK*EUFRPB/TKPWAEUPLS
annexo	APB/TPHEBG/SOE, APB/TPHEBGS/SOE
travelogue	TRAFL/OG
withholding	W/HOELD/-G
MBA	PH-RBGS/PWA*
atoms	TOPLTSZ, AT/OPLS
marry	PHAER/KWREU, PHAER, PHAEUR/KWREU, PHAR/REU
How would	HOULDZ
slobbering	SHROB/ER/-G
wetting	WET/-G, WEGT
Tonya	TOPB/KWRA
as well	SW*EL
ulnaris	UL/TPHAR/EUS
Jacques	SKWRA*BGS, SKWRAEUBGS
polyfill	POL/KWREU/TPEUL
{^'}	SKW*T, -PBT, SKW*TS
what I haven't	WHAEUFPBT
73	3EU7
voluntary manslaughter	SRO*PLS
{ferro^}	TPER/ROE
Yodoxin	KWROD/OBGS/*EUPB
Ghiringhelli	TKPWREUPBG/TKPWEL/HREU
congenial	KOPB/SKWRAOEPB/KWRAL
Werner Herzog	SRER/TPHER/HER/SO*G
kinds	KAOEUPBDZ, KEUPBDZ, KAOEUPBZ, KAOEUPBSDZ, KAOEUPDZ
destructibility	TKE/STRUBGT/-BLT, TKRUBGT/-BLT
Veda	SRAOED/KWRA
TODO	TAOU/TKAOU
volume of distribution	SRO*LGS, SRO*PLGS
quatrefoil	KWART/TPOEUL
physiologic changes	TPEUS/HR-LG/EUBG/KHAEUPBGS
thrive	THRAO*EUF, THRAOEUF
topographically	TOP/TKPWRAFBG/KHREU, TOP/TKPWRAFBG/HREU
Yaounde	KWRAOUPB/TKAEU
naltrexone	TPHAL/TREBGS/OEPB
{vibra^}	SRAOEUB/RA
creche	KRERB
interproximally	EUPBT/PROBGS/HREU
tenser	TEPBS/ER, TEPB/SER
lettered	HRET/ER/-D
cruel	KRAOUL
tally	TAL/KWREU, TAL/HREU
rarely	HRAEURL, RAEUR/HREU, RAERL, RAEURL
engenders	EPB/SKWREPBD/ERS
to rhinosinusitis	TO/RAOEUPB/SAOUPB/SAOEUTS
Sansert	SAPB/SERT
initially	TPHREURBL, EUPB/TPHEURB/HREU, TPHEURB/HREU
AppVeyor	AP/SRAEU/KWROR, AP/SRA*EUR
supercilious	SAO*UP/SEUL/KWROUS, SAOUP/SAOEL/KWRUS, SAOUP/SEUL/KWRUS, SAOUP/SEUL/KWROUS
growths	TKPWRO*ETS
this would	TH-LD
lubrication	HRAOUB/KAEUGS, HRAOUB/REU/KAEUGS, HRAOURB/KAEUGS, HRAOUB/REUBGS
hyperkalemic	HAOEURP/KHRAOEPL/EUBG
conclusively	KAUPB/KHRAOUS/EUFL, KAUPB/KHRAOU/SEUFL
focusing	TPOEBGS/-G, TPOEUBGS/-G, TPOE/KUS/-G
blades	PWHRAEUDZ
Jessica	SKWRES/KA
officially	O/TPEURB/HREU, TPEURB/HREU, TPEURBL/HREU
underprivileged	UPBD/PREUFLG/-D, UPBD/PREUFLGD
mustier	PHUS/TEU/ER
accusative	ABG/KAOUS/T*EUF, ABG/KAOUZ/T*EUF
adjusted	A/SKWRUFT/-D, A/SKWRUF/-D, A/SKWRUFTD, A/SKWRUFPLT/-D, SKWRUFT/-D, SKWRUFTD, A/SKWR*UFD, A/SKWRUFLTD
ChemLuminaries	KH*LS
faze	TPAEZ, TPA*EUZ
legibility	HREPBLG/-BLT, HREPBLG/EUBLT, HREPBLG/-BLTD
filter	TPEUL/TER, TPULT/*ER, TPEURLT, TPEULT/*ER, TPEULT/ER
Britain	PWREU/TAEUPB, PWREUT/TAPB, PWREUT/AEUPB, PWREU/TAPB, PWREUT/TAEUPB, PWRAEUT/AEUPB, PWREUT/TEUPB, PWREU/TEUPB
wisdom	WEUS/TKOPL, WEUZ/TKOPL, WEUS/TKO*PL, WEUFPLD
diametrically	TKAOEU/PHERT/KHREU, TKAOEU/PHET/REUBG/HREU
shall	SHAL
Aldridge	AUL/TKREUPBLG, AL/TKREUPBLG, ALD/REUPBLG
vibrated	SRAOEUB/RAEUTD, SRAOEU/PWRAEUT/-D
foxily	TPOBGS/HREU
thresh	THRERB
shunts	SHUPBTS, SHUPBT/-S
upgrade	UPGD, AOUP/TKPWRAEUD
altruism	AUL/TREUPL, AL/TRAOU/EUFPL, AUL/TREUFPL, AL/TRAOUFPL, AL/TREUFPL
bragged	PWRAGD
barrel organ	PWA*EURL/ORG/A*PB
legatee	HREG/TAOE
purest	PAOUR/*ES, PAOUR/EFT
overwhelm	OEFR/WHEL/*PL, AUFR/WHEL/*PL, AUFRPL, O*FR/WHEL/-PL, AUF/WHEPL, AUFR/WHEPL
Nafisa	TPHA/TPAOES/SA
crossed	KROS/-D, KROFD
mohair	PHOE/HAEUR, PHO/HAEUR
fluoroscopic	TPHRUR/SKOP/EUBG
highlands	HAOEU/HRAPBDZ
Philadelphian	TP*EUL/TKEFL/KWRAPB
communicator	KOERBGT
presider	PRE/SAOEUD/ER
trometamol	TO/PHET/PHOL, TRO/PHET/PHOL
distributed	TKR-BTD, TKR-RBTD, TKR-RPBT/-D, TKR-BT/-D/-D, TKR-BD/-D, TKR-BLT/-D, TKR-PT/-D, TK-RBT/-D, TKR-BT/-D
Wild West	WAOEULD/WEFT
areas under the curve	TPHUFRB/-S, TPHUFRBS
Yusuf	KWRU/SUF
Baby Boom	PWAEB/PWAOPL
differences	TKEUFPBS/-S, TKEUFRPBSZ, TKEUFRPBS/-S, TKEUFRBS/-S
that{.}	THAFPLT, THAPL, THAFLT, TPHAPL
switchblades	SWEUFP/PWHRA*EUDZ, SWEUFP/PWHRAEUDZ
I'm big	AOEUPL/HREUG
farthing	TPA*RT/-G
come out	KOPL/OUD, KPHOUT
steer	STAOER
xargs	KPARGS
grand larceny	TKPWHRARS
drank	TKRAPB/*BG, TKRAPBG, TKRA*PBG, TKRAPB/-BG
intrastromal	EUPBT/STROEPL/A*L
desirably	TKE/SAOEUR/PWHREU, TKE/SAO*EUR/PWHREU
Salem	SAEUL/EPL, SAEU/HREPL
redaction	RE/TKABGS
implements	EUPL/PHREPLTS
pirbuterol	PEUR/PWAOUT/ROL
massage	PHAUPBLG, PHAS/SAPBLG, PHA/SAPBLG, PHAFPBLG
Levitra	HRE/SRAOET/RA, HREF/SRAOE/TRA, HREF/SRAOET/RA, HREF/EUT/RA, HRE/SREU/TRA, HRE/SRAOET/TRA, HRE/SREUT/RA, HREF/SRAOET/TRA
bore	PWOR
Ewan McGregor	AOU/WAPB/PH-BG/TKPWREG/O*R
Arabella	A/RA/PWEL/HRA
mat	PHAT
Technical Sciences Council	TEBG/K-L/SKRAOEUPBS/-S/KOUPB/SEUL
selects	SHREBGTS, SHREBGZ, SHREBGT/-S
Randi	RAPBD/SKWREU
indigestible	EUPBD/SKWR*ES/-BL, EUPBD/SKWRES/TEUBL, EUPB/TKEU/SKWREFT/-BL
lig	HREUG
stealth	ST*ELT
proptotic	PROP/TOT/EUBG
molded	PHOELD/-D
decoration	TKEBG/RAEUGS
{^ ^}	S*PS, S-PS, S-P, SP*S
bored	PWO*RD, PWOR/-D, PWORD
MIDI	PHEUD/TKEU, PHEUD/KWREU, PHAOE/TKAOE, PHEU/TKEU
gridiron	TKPWREUD/AOEURPB
Rocket League	ROBGT/HRAOEG
bupivacaine	PWAOU/PEUF/KAEUPB
shipboards	SHEUP/PWAORDZ
Shibe	SHAOEB
lubricated	HRAOURB/-D, HRUB/KAEUT/-D
advisable	SRAOEUZ/-BL, AD/SRAOEUZ/-BL, SR*EUS/-BL, SREUS/-BL, SREUZ/ABL
feature	TPAOEFP/AOUR, TPAOE/KHUR, TPAOET/AOUR, TPAO*EFP, TPAOEFP/UR, TPAOEFP, TPAOE/TUR, TPAOET/UR, TPAOEFP/KWRUR
nebulin	TPHEB/HREUPB
dermally	TKERPL/HREU, TK*ERPL/HREU
negligee	TPHELG/SKWRAEU
pruner	PRAOUPB/ER
parameteral	PRAPLT/A*L
of this	TH-F
carnality	KARPB/ALT
can remember	K-RPL
Lister	HREUS/TER
deficits	TKEF/SEUTS, TK*EFTS
routed	RAOUT/-D, ROUT/-D
Atlas Shrugged	AT/HRAS/SHR*UGD
declarant	TKE/KHRAEUR/APBT, TKE/KHRAEU/RAPBT, TKE/KHRARPBT, TKE/KHRAEUR/RAPBT, TKE/KHRAEURPBT, TKE/KHRAR/RAPBT, TKAOE/KHRAEURPBT
as high as	SHAO*EUS
Luvox	HRAOU/SROBGS, HRAOUF/OBGS
Cypriot	SEURP/KWROT
angiography	APBG/OG/TPEU, APBG/KWROG/TPEU
sting	STEUPBG
midterm	PHED/TEURPL, PHEUD/TERPL
immodesty	EUPL/PHOD/EFT/KWREU
laborers	HRAEUB/ERS, HRAEU/PWOR/ERS
fluency	TPHRAOU/EPBS/KWREU, TPHRAOUPB/SEU, TPHRAOUPBS/KWREU
bas relief	PWA/RE/HRAOEF
you might know	U/PHAEU/TPHOEU
Clemens	KHREPL/EPBS
re-injured	RAOE/SKWR-RD
rascal	RAS/KAL, RAFBG/A*L, RAS/K-L
refinery	RAOE/TPAOEUPB/REU, RE/TPAOEUPB/REU
nymphomaniac	TPH*EUPL/PHAEUPB/KWRABG, TPHEUFRP/PHAEUPB/KWRABG, TPHEUPL/TPO/PHAEUPB/KWRABG, TPEUFPL/PHAEUPB/KWRABG
dividing	TKWAOEUD/-G, TKWAOEUGD
enlivened	EPB/HRAO*EUF/-PB/-D, EPB/HRAO*EUF/-PBD
multifocal	PHULT/TPOELG, PHULT/TPOEBG/A*L, PHULT/TPO*ELG
Tito	TAOE/TOE
centrosomes	SEPBT/RO/SO*EPL/-S
hastened	HAEUS/-PBD, HA*EUS/-PB/-D, HAEUS/-PB/-D
solipsism	SOL/OP/SEUFPL, SOL/EUP/SEUFPL, SHROP/SEUFPL
spauld	SPAULD
confuse	KAUPB/TPAOUS, KOPB/TPAOUS, KAOUFS, KOPB/TPAOUZ
attention to	A/TOEPBGS
galloping	TKPWAL/OP/-G, TKPWAL/HROP/-G
laywomen	HRAEU/WEUPL
El Greco	EL/TKPWREBG/SKWRO
dermographia	TKERPL/O/TKPWRAF/KWRA
creaming	KRAOEPLG, KRAOEPL/-G
Stutler	STUT/HRER
scrolling	SKROLG
{^tropy}	TROEP/KWREU, TRO*EP
retarder	RE/TARD/*ER
nostrils	TPHOS/TREUL/-S, TPHOS/TREULS
excepted	KPEPT/-D
diversion	TKEU/SRERGS, TKAOEU/SRERGS, TKWERGS
extortionate	EBGS/TORGS/TPHAT
ignorant	EUG/TPHORPBT, EUG/RAPBT, EUG/TPHOR/RAPBT, EUG/TPHO/RAPBT, EUG/RAPBLT, EUG/TPHAPBT, EUG/TPHO/RAPBLT, EUG/TPHOR/APBT, EUG/TPHOERPBT
shittiness	SHEUT/TEU/*PBS
photic	TPOET/EUBG
flaky	TPHRAEUBG/KWREU, TPHRAEUBG/KEU, TPHRAEU/KEU
demolished	TKPHOL/EURBD
arabesque	AEUR/PWEFBG
upscale	UP/SKAEUL
recreates	RAOE/KRAOETS
laborer	HRAEUB/RER, HRAEUB/O*R/*ER, HRAEUB/*ER, HRAEU/PWOR/ER
Miranda	PHEURPBD, PHEU/RAPB/TKA, PHEUR/APB/TKA, PHEUR/RAPBD/TKA, PHEUR/APBD/KWRA, PH-RPBD
creatine	KRAOE/TAOEPB, KRAOE/TAOEUPB
rubberneck	RAOURB/TPHEBG
placebo	PHRO*EUB, PHRA/SOE/PWOE, PHRA/SAOE/PWOE, PHRA*/SAOE/PWOE, PHRA/SAOEB/OE, PHROEUB, PRO*EUB
clog	KHROG
capstone	KAP/STOEPB
Federal Reserve	TPRAL/RE/SEFRB, TPRAL/REFRB
steadily	STED/HREU, STED/TKEU/HREU
pineapple	PAOEUPB/AP/-L, PAOEUPB/A*PL, PAOEUPB/AP/*L, PAOEUPB/5*78
sasanqua	SUS/SAPB/KWA
{^elle}	AO*EL
Branford	PWRAPB/TPORD
compulsive	KPUL/S*EUF, KPULS/EUF, KOPL/PULS/*EUF, KP*ULS/EUF, KPULS/*EUF, KOPL/PUL/S*EUF
disorderly	TKEUS/ORD/HREU
bakery	PWAEUBG/REU
Carroll Gardens	KAR/ROL/TKPWARD/*EPB/-S
Brussell	PWRUS/SEL
formal	TPO*L, TPORPL/AL, TPORPL/KWRA*L, TPORPL/A*L, TPORPL/PHAL, TPORL
stovepipes	STOEF/PAOEUP/-S
Xin	KPEUPB
amiodarone	APL/KWROE/TKA/ROEPB, APL/KWROED/ROEPB, APL/KWROE/TKROEPB, APL/KWRAOE/TKROEPB, APL/KWRO/TKROEPB, AEUPL/KWROED/ROEPB
Shep	SHEP
commensurate	KPHEPBS/RAT, SPHEPBS/RAEUT, KOPL/PHEPBS/RAT
shade	SHAEUD
amino-terminal	A/PHO*EUPB/TERPBL/TPHAL, A/PHO*EUPB/TERPL/TPHAL
squawker	SKWAUBG/ER
bearable	PWAEUR/-BL, PWAERBL, PWAEURBL, PWAER/-BL
Ghazna	TKPWAZ/TPHA
voided	SROEUD/-D
jailhouse	SKWRAEUL/HOUS
steatosis	STAOE/TOES/EUS, TAOET/OES/EUS, STAOET/OES/EUS
{^idase}	EUD/AEUZ
slaying	SHRAEUG, SHRAEU/-G
the bile	-T/PWAO*EUL
purifier	PAOUR/TPEU/ER
death	TKEGT, TK*ET, TK*T, T*ET
prolix	PRO/HREUBGS, PROE/HREUBGS
primaquine	PRAOEUPL/KWAOEUPB, PREUPL/KWEUPB, PREUPL/KWAOEUPB
careless	KAEURLS
expresses	EBGS/TPRES/-S, EBGS/PRES/-S
enclosure	EPB/KHROES/AOUR, KHRO/UR
cantaloupe	KAPBT/HROEP
and I can	SKPEUBG
lights	HRAOEUGTS, HRAOEUTS
olives	OL/*EUFS
merges	PHERPBLGS, PHERPBLG/-S
boardroom	PWAORD/RAOPL, PWAO*RPL
{^land}	HRA*PBD
glimmering	TKPWHREUPL/ER/-G, TKPWHREUPL/ERG
indirect	EUPB/TKREBGT
lemniscus	HREPL/TPHEUS/KUS
predecessors	PRED/SES/O*R/-S, PRED/SES/SOR/-S, PRED/SES/ORS, PRED/TKOES/SO*RS
rototiller	RO/TO/TEUL/*ER
lighthouse	HRAOEUGT/HOUS, HRAOEUT/HO*US, HRAOEUT/HOUS, HRAOEUGT/HO*US
sequester	SKWEFT/ER, SKWEFT/*ER, SKWES/TER, SE/KWES/TER, SE/KWEFT/*ER, SE/KW*ES/ER, SKW*ES/ER
Knopf	TPHOP/*F
ICAM	*EUP/KAPL
weak	WAEBG
seaside	SAOE/SAOEUD, SAE/SAO*EUD, SAE/SAOEUD
daisies	TKAEUS/KWREU/-S
misinformed	PHEUS/TPH-FD, PHEUZ/EUPB/TPORPLD
eensy-weensy	AOEPBS/KWREU/WAOEPBS/KWREU
bubonic	PWAOUB/O*PB/EUBG, PWAOU/PWOPB/EUBG
harshest	HAR/SH*ES, HARB/EFT
inertia	EUPB/ERB/KWRA, EUPB/*ER/SHA/TP-PL, TPH*ERB/KWRA, EUPB/ER/SHA, TPHER/SHA, TPHERB/KWRA, TPHERB/SHA, EUPB/TPHER/SHA, TPH*ERB/SHA
disarray	TKEUS/A/RAEU
astrological	AFT/RO/HROLG, AFT/HR-LG, AFRT/HR-LG, AFT/RO/HR-LG, AS/TRO/HR-LG
coronet	KO/RO/TPHET
budget is	SPWUPBLT
internationally	SPWER/TPHARB/HREU, EUPBT/TPHAT/HREU, EUPBT/TPHAGS/HREU
Judith	SKWRAOUD/*EUT, SKWRUD/*EUT, SKWRAO*UD/*EUT
anoretics	APB/RET/EUBGS
{^tium}	SHUPL
300	P-Z, 3-Z
ordinance	ORD/TKEU/TPHAPBS, ORD/TPHA*PBS, ARD/TPHAPBS, O*RPBS, O*R/TKEU/TPHAPBS, ORPBS, ORD/TPHAPBS, OFRD/TPHAPBS
exfoliate	EBGS/TPOEL/KWRAEUT
gallon	TKPWAL/O*PB, TKPWAL/HROPB, TKPWAL, TKPW-L, TKPWHROPB
celestial	KHREFT/KWRAL, SE/HR*ES/KWRAL, SHRES/KHAL, SHR*ES/KWRAL, SHREFT/KWRAL, SE/HRES/KHAL
tunnel	TUPB/TPHEL, TUPB/EL, TUPBL
and I was	SKPEUFS
firefly	TPAOEUR/TPHRAOEU
jackets	SKWRABGTS
abandoned	A/PWAPB/TKOPB/-D, A/PWOPBD/TKOPB/-D, A/PWAPB/TKOPBD, A/PWAPBD/O*PB/-D, PWAPB/TKOPB/-D, A/PWOPB/TKOPB/-D, A/PWOPBD/O*PB/-D
suburbia	SPWURB/KWRA, SUB/URB/KWRA, SU/PWURB/KWRA
kidnapping	KEUD/TPHAP/-G
recombines	KPWRAOEUPBS
Niemann Marcus	TPHAOEPL/A*PB/PHARBG/SKWRUS
acroline	ARBG/HRAOEUPB
I can't believe	KWRABL
scallywag	SKAL/KWREU/WAG
iffy	EUF/KWREU
{^;^}	TH-FL
luna	HRAOU/TPHA, HRAOUPB/KWRA
gibbet	TKPWEUB/ET
untoward	UPB/TAORD
seventy-one	SEFPBT/WUPB
Joey Anuff	SKWROE/KWREU/A/TPHUF
branchial	PWRA*PBG/KWRAL, PWRAPBG/KWRAL
droning	TKROEPBG
paving	PAEUFG, PAEUF/-G
Arabian Gulf	AR/RAEUB/KWRAPB/TKPWUL/-F
transmission	TRAPBS/PHEUG, TR*EUGS, TRAPBS/PHEUGS
determines	TKERPLS, TKE/TERPL/-PBS
palati	PAL/TEU
belong	PWAOE/HROPBG, PWHROPG, PWHROPBG
he believed	HEBLD
plan terrorist	PHRAPB/TER/REUFT
thicker	THEURBG, THEUBG/*ER, TH*EURBG
horoscopes	HOR/SKOEP/-S
Wideman	WAOEUD/PHA*PB
rumination	RAOUPL/TPHAEUGS
chignon	KHEUPB/KWROPB, SHAOEPB/KWROPB
defensive	TKE/TPEPBS/EUF, TKEFS/*EUF, TKEFPB/S*EUF, TKEFPBS/S*EUF, TKAOE/TPEPBS/EUF, TKEFPBS/*EUF, TKE/TPEPB/S*EUF, TKE/TPEPBS/*EUF
Yosemite	KWROE/SEPL/TE, KWROE/SEPL/TEU, KWROE/SEPL/TAOE, KWROEZ/PHAOEUT
emotional	AO*ELGS/A*L, AO*ELGTS, AOE/PHOEGS/TPHAL, AOE/PHOEGS/KWRA*L, AO*ELGS, AOE/PHOEGS/AL, AO*ELG/A*L
and were	SKP-RP
{^sporin}	SPOR/*EUPB
Carnegie	KARPB/TKPWEU, KARPB/TKPWAOE
legalistic	HRAOEL/EUFT/EUBG
shelves	SHEFL/-S, SHEFLS, SHEL/*FS, SHEL/-FS
seditious	SE/TKEURBS, SE/TKEURB/OUS, SE/TKEURB/-RBS
of applause	AF/PHRAUS
orangey	ORPBG/KWREU
{^scopic}	SKOP/EUBG
a la mode	A/HRA/PHOED
civil	SEUFL, S*EUFL, SEU/SREUL, KREU/SREUL
ker	KER
surveilled	SUR/SRAEULD
whereas	W-R/AS, W-RZ, WRAZ, WRAS, W-R/AZ, WH-RS
relaxer	RE/HRABGS/*ER, RAOE/HRABGS/ER
Devonshire	TKEFPB/SHEUR
burliness	PWUR/HREU/*PBS
tempoed	T*EPL/SKWRO/-D
in saying	TPH/SAEU/-G
reasonable doubt	R-PBLD, R-PB/TKOUT
ingredients	TKPWRAOEPBTS, EUPB/TKPWRAOED/KWREPBTS
Moriarty	PHOR/KWRART/KWREU, PHOR/KWRAR/TEU
tragedian	TRA/TKPWAOED/KWRAPB
